FoutCode;Veroorzaker;Toelichting;XSD-Klasse;Attribuut;tagNaam;Controleregel;Foutmelding;Verklaring;Request for Change;Oplossing
"hyp_flo_011a";"";"";"StukdeelHypotheek";"vervreemderRechtRef";"";"Moet aanwezig zijn indien aanduidingHypotheek <>  overbruggingshypotheek";"{Stukdeel} {vlgnr} {vervreemderRechtRef} {2800} {Fout} - Rubriek is verplicht, maar niet aanwezig";"Consequentie voor opmaak: Partijnamen worden niet (correct) in de akte getoond.";"";""
"hyp_flo_012";"";"";"StukdeelHypotheek";"verkrijgerRechtRef";"";"Mag maximaal 1 maal voorkomen";"{Stukdeel} {vlgnr} {verkrijgerRechtRef} {2800} {Fout} - Rubriek mag maar eenmaal voorkomen";"Consequentie voor registratie: Er kunnen personen worden geregistreerd die niet als verkrijgende partij in de akte zijn vermeld.";"";""
"hyp_flo_012a";"";"";"StukdeelHypotheek";"verkrijgerRechtRef";"";"Moet aanwezig zijn indien aanduidingHypotheek <>  overbruggingshypotheek";"{Stukdeel} {vlgnr} {verkrijgerRechtRef} {2800} {Fout} - Rubriek is verplicht, maar niet aanwezig";"Consequentie voor opmaak: Partijnamen worden niet (correct) in de akte getoond.
Consequentie voor registratie: De verkrijgende partij wordt niet geregistreerd.";"";""
"hyp_par_014";"";"";"StukdeelHypotheek";"tia_Volgnummer";"";"Mag niet aanwezig / ingevuld zijn";"{Stukdeel} {vlgnr} {Volgnummer} {2800} {Waarschuwing} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"hyp_rab_043g";"K";"";"IMKAD_Perceel";"tia_SplitsingsverzoekOrdernummer";"";"Moet ingevuld zijn indien k_VoorlopigeGrenzen =  true";"{Perceel} {vlgnr} {splitsingsverzoekOrdernummer} {2800} {Fout} - Rubriek verplicht in geval van voorlopige grenzen";"Geen consequenties voor registratie en opmaak, maar wel verplicht.";"";"Geen consequenties voor registratie en opmaak, maar wel verplicht."
"hyp_aab_1445";"W";"";"GerelateerdPersoon/IMKAD_Persoon";"IMKAD_WoonlocatiePersoon";"";"Mag niet aanwezig / ingevuld zijn, als IndGezamenlijkeWoonlocatie uit GerelateerdPersoon =  true  (adres is dan al bij 1e persoon vermeld)";"{2800} {Waarschuwing} - Rubriek niet toegestaan bij gezamenlijke woonlocatie.";"{2800} {Waarschuwing} - Rubriek niet toegestaan bij gezamenlijke woonlocatie.";"TB PNP";"Mag niet aanwezig / ingevuld zijn, als IndGezamenlijkeWoonlocatie uit GerelateerdPersoon =  true  (adres is dan al bij 1e persoon vermeld)"
"022";"N";"";"";"";"";"Datum ondertekening mag niet in de toekomst liggen.";"Datum ondertekening mag niet in de toekomst liggen.";"Datum ondertekening mag niet in de toekomst liggen.";"";"Datum ondertekening mag niet in de toekomst liggen."
"aav_e_053";"W";"";"IMKAD_AangebodenStuk/StukdeelVerdelingPartnerschap";"tekstkeuze";"";"Alleen de volgende waarden zijn toegestaan:  k_Zonder, k_OndermeerGemeenschap, k_Blijkens, k_Overeenkomst, k_OndermeerOvereenkomst, k_Onverdeeld";"{VerdelingPartnerschap} {vlgnr} {TekstKeuze} {2800} {Waarschuwing} - Waarde    niet toegestaan als keuzetekst";"";"";""
"lev_049";"";"";"StukdeelPR_Beperking";"";"";"Mag niet aanwezig / ingevuld zijn";"{StukdeelPR_Beperking} {vlgnr} {alle} {2800} {Waarschuwing} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"lev_008";"";"";"StukdeelKoop";"tekstkeuze";"k_Contractsoverneming";"Moet indien aanwezig en gevuld één van de volgende waarden bevatten:  true  en  false";"{StukdeelKoop} {vlgnr} {tekstkeuze} {2950} Waarde " is niet toegestaan voor keuzetekst {k_Contractsoverneming}.";"";"";""
"lev_009";"S";"";"IMKAD_ZakelijkRecht/IMKAD_Perceel";"IMKAD_Kadastrale aanduiding/ appartementsindex";"";"Mag niet aanwezig / ingevuld zijn";"Rubriek niet toegestaan bij perceel.";"Mag niet aanwezig / ingevuld zijn";"";"Mag niet aanwezig / ingevuld zijn"
"lev_009b";"S";"";"IMKAD_ZakelijkRecht/IMKAD_Perceel";"tia_Tekstkeuze";"";"Alleen de volgende waarde is toegestaan:k_Mandeligheid";"{Perceel} {vlgnr} {Tekstkeuze} {2800} {Waarschuwing} - Waarde " niet toegestaan als keuzetekst";"Consequentie voor MID:
Mandelig perceel wordt zonder hoofdperceel op MID getoond.";"";""
"hyp_ing_010a";"";"";"StukdeelHypotheek";"vervreemderRechtRef";"";"Moet aanwezig zijn indien aanduidingHypotheek <>  overbruggingshypotheek";"{Stukdeel} {vlgnr} {vervreemderRechtRef} {2800} {Fout} - Rubriek is verplicht, maar niet aanwezig";"Consequentie voor opmaak: Partijnamen worden niet (correct) in de akte getoond.";"";""
"hyp_flo_002";"";"";"IMKAD_Aangeboden stuk";"tia_WoonplaatsKeuze";"";"Mag niet aanwezig / ingevuld zijn";"{AangebodenStuk} {vlgnr} {WoonplaatsKeuze} {2800} {Fout} - Rubriek niet toegestaan voor dit modeldocument";"Consequentie voor registratie: Er kan een woonplaatskeuze worden geregistreerd die niet overeenkomt met de woonplaatskeuze in de akte.";"";""
"dhy_056";"";"";"IMKAD_Persoon/tia_Gegevens/GBA_Ingezetene";"tia_Titel2";"";"Mag niet aanwezig / ingevuld zijn";"{Ingezetene} {vlgnr} {Titel2} {2800} {Teveel} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"aav_e_059";"W";"";"IMKAD_ZakelijkRecht";"tia_TekstKeuze";"";"Alleen de volgende waarden zijn toegestaan: k_NaderTeOmschrijven,  k_Eigendom, k_VoorlopigeGrenzen, k_Voortstuwing, k_Scheepstoebehoren, k_Onverdeeld, k_ErfpachtCanon";"{ZakelijkRecht} {vlgnr} {TekstKeuze} {2800} {Waarschuwing} - Waarde    niet toegestaan als keuzetekst";"";"";""
"hyp_rab_057";"";"";"IMKAD_Persoon/tia_Gegevens/NHR_Rechtspersoon";"tia_PlaatsKvK";"";"Mag niet aanwezig / ingevuld zijn";"{Rechtspersoon} {vlgnr} {tia_PlaatsKvK} {2800} {Waarschuwing} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"hyp_rab_058";"";"";"IMKAD_Persoon/tia_Gegevens/GBA_Ingezetene";"tia_TekstKeuze";"";"Alleen de volgende waarde is toegestaan:  k_Professor";"{Ingezetene} {vlgnr} {TekstKeuze} {2800} {Waarschuwing} - Waarde    niet toegestaan als keuzetekst";"";"";""
"hyp_rab_058b";"";"";"IMKAD_Persoon/tia_Gegevens/GBA_Ingezetene";"geslacht";"";"Moet ingevuld zijn";"{Ingezetene} {vlgnr} {Geslacht} {2800} {Fout} - Rubriek verplicht voor dit modeldocument";"Consequentie voor opmaak:
Tekst ( de heer  of  mevrouw ) wordt niet vermeld in de akte.
Consequentie voor registratie:
Geslacht is verplicht bij NP.";"";""
"hyp_rab_059";"";"";"IMKAD_Persoon/tia_Gegevens/IMKAD_NietIngezetene";"tia_Tekstkeuze";"";"Alleen de volgende waarde is toegestaan:  k_Professor";"{Niet-Ingezetene} {vlgnr} {TekstKeuze} {2800} {Waarschuwing} - Waarde    niet toegestaan als keuzetekst";"";"";""
"hyp_rab_060";"";"";"IMKAD_Persoon/tia_Gegevens/IMKAD_NietIngezetene";"geslacht";"";"Moet ingevuld zijn";"{NietIngezetene} {vlgnr} {Geslacht} {2800} {Fout} - Rubriek verplicht voor dit modeldocument";"Consequentie voor opmaak:
Tekst ( de heer  of  mevrouw ) wordt niet vermeld in de akte.
Consequentie voor registratie:
Geslacht is verplicht bij NP.";"";""
"hyp_rab_061";"K";"";"IMKAD_Persoon/tia_Gegevens/NHR_Rechtspersoon";"tia_LandStatutaireZetel";"";"Mag niet aanwezig / ingevuld zijn in combinatie met IMKAD_Persoon/tia_TekstKeuze/tagNaam (‘k_Kantoorhoudende’)/tekst(‘en aldaar kantoorhoudende aan’)";"{Rechtspersoon} {vlgnr} {LandStatutaireZetel} {2800} {Fout} - Rubriek niet toegestaan bij keuzetekst  aldaar kantoorhoudende";"Consequentie voor opmaak:
Adres (buitenlands) achter  en aldaar kantoorhoudende aan  ontbreekt.";"";""
"hyp_rab_062";"";"";"IMKAD_Persoon/tia_Gegevens/NHR_Rechtspersoon";"tia_StatutaireZetel";"";"Indien IMKAD_Persoon/tia_TekstKeuze/tagNaam (‘k_Kantoorhoudende’)/tekst(‘en aldaar kantoorhoudende aan’), dan moet tia_StatutaireZetel gelijk zijn aan IMKAD_Persoon//IMKAD_WoonlocatiePersoon/adres/binnenlandsAdres/woonplaatsNaam";"{Rechtspersoon} {vlgnr} {StatutaireZetel} {2800} {Fout} - Rubriek moet gelijk zijn aan woonplaatsnaam bij keuzetekst  aldaar kantoorhoudende";"Consequenties voor opmaak:
Tekst in akte klopt niet; zetel en woonplaats verschillen.";"";""
"GG043";"N";"AA CRL vermelding";"";"";"";"AA CRL vermelding";"AA CRL vermelding";"";"";"AA CRL vermelding"
"hyp_par_034f";"";"";"StukdeelErfpachtcanonTijdelijkAfgekocht";"";"";"Mag niet aanwezig / ingevuld zijn";"{StukdeelErfpachtcanonTijdelijkAfgekocht} {vlgnr} {alle} {2800} {Waarschuwing} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"hyp_par_034g";"";"";"StukdeelErfpachtcanonEeuwigAfgekocht";"";"";"Mag niet aanwezig / ingevuld zijn";"{StukdeelErfpachtcanonEeuwigAfgekocht} {vlgnr} {alle} {2800} {Waarschuwing} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"hyp_par_035a";"";"";"IMKAD_AangebodenStuk/Partij";"aanduidingPartij";"";"Alleen de volgende waarden zijn toegestaan: ‘de Schuldenaar en/of de Hypotheekgever’,  de Schuldenaar ,  de Hypotheekgever ,  Aanduiding per  persoon , ‘Schuldeiser’, ‘Hypotheeknemer’";"{Partij} {vlgnr} {Partijaanduiding} {2800} {Fout} - Waarde    niet toegestaan";"Consequentie voor opmaak:
In de akte kan een partij met een niet toegestane partijaanduiding worden getoond.";"";""
"GG123";"K";"AA Uitval technisch";"";"";"";"AA Uitval technisch";"AA Uitval technisch";"";"";"Let op: het xml bestand voldoet niet aan de KIK-eisen"
"hyp_par_018b";"";"";"StukdeelHypotheek";"aanduidingHypotheek";"";"Er moet minimaal één StukdeelHypotheek aanwezig waarbij aanduidingHypotheek niet aanwezig is";"{StukdeelHypotheek} {vlgnr} {aanduidingHypotheek} {2800} {Waarschuwing} - StukdeelHypotheek waarbij aanduidingHypotheek niet aanwezig is, is verplicht";"";"";""
"hyp_par_018c";"";"";"StukdeelHypotheek";"aanduidingHypotheek";"";"Alleen de volgende waarde is toegestaan:   overbruggingshypotheek";"{StukdeelHypotheek} {vlgnr} {aanduidingHypotheek} {2800} {Fout} - Waarde    niet toegestaan";"Consequentie voor opmaak:
De overbruggingshypotheek wordt niet getoond
Consequentie voor registratie:
De overbruggingshypotheek wordt als apart stukdeel geregistreerd";"";""
"hyp_par_019";"";"";"StukdeelKoop";"";"";"Mag niet aanwezig / ingevuld zijn";"{StukdeelKoop} {vlgnr} {alle} {2800} {Waarschuwing} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"hyp_par_020";"";"";"StukdeelLevering";"";"";"Mag niet aanwezig / ingevuld zijn";"{StukdeelLevering} {vlgnr} {alle} {2800} {Waarschuwing} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"hyp_wlu_050";"";"";"IMKAD_ZakelijkRecht";"tia_Aantal_BP_Rechten";"";"Mag alleen ingevuld zijn als aardVerkregen =  EIGENDOM BELAST MET ZAKELIJK RECHT ALS BEDOELD IN ART.5,LID 3,ONDER B, VAN DE BELEMMERINGENWET PRIVAATRECHT";"{ZakelijkRecht} {vlgnr} {AantalBPRechten} {2800} {Waarschuwing} - Aantal BP-rechten niet toegestaan bij gekozen aard zakelijk recht";"";"";""
"aav_e_072";"";"";"IMKAD_ZakelijkRecht/IMKAD_Appartementsrecht/IMKAD_OZLocatie";"ligging";"";"Moet ingevuld zijn";"{AppartementsrechtLocatie} {vlgnr} {ligging} {2800} {Fout} - Rubriek verplicht voor dit modeldocument";"";"";""
"lev_015";"";"";"StukdeelKoop
";"tekstkeuze";"k_Energieprestatiecertificaat";"Moet indien aanwezig en gevuld de volgende waarde bevatten: true";"{StukdeelKoop} {vlgnr} {tekstkeuze} {2950} Waarde " is niet toegestaan voor keuzetekst {k_Energieprestatiecertificaat}.";"";"";""
"lev_018d";"";"";"StukdeelKoop/koopprijsSpecificatie";"omzetbelasting";"";"Mag niet aanwezig zijn indien roerendezakenWaarde aanwezig is";"{koopprijsSpecificatie} {vlgnr} {omzetbelasting} {2800} {Fout} - Rubriek niet toegestaan indien roerendezakenWaarde aanwezig is";"Consequentie voor MID:
Bedrag koopprijs heeft foutieve waarde.";"";""
"hyp_par_037";"";"";"IMKAD_AangebodenStuk/Partij/Gevolmachtigde";"tekstkeuze";"";"Alleen de volgende waarde is toegestaan: k_VerantwoordelijkheidNotaris, k_BurgerlijkeStaatPersoon";"{Gevolmachtigde} {vlgnr} {tekstKeuze} {2800} {Waarschuwing} - Waarde    niet toegestaan als keuzetekst";"";"";""
"notv_010a";"";"";"IMKAD_AangebodenStuk/ondertekenaar";"tia_KadGegevensWaarnemerVoor";"";"Mag alleen aanwezig zijn wanneer tia_WaarnemerVoor ook aanwezig is";"{Ondertekenaar} {vlgnr} {KadGegevensWaarnemerVoor} {2800} {Waarschuwing} - Rubriek niet toegestaan indien WaarnemerVoor ontbreekt";"";"";""
"notv_011";"";"";"IMKAD_AangebodenStuk/ondertekenaar/tia_Ondertekenaar";"tia_TekstKeuze";"";"Alleen de volgende waarde is toegestaan:  k_Professor";"{Ondertekenaar} {vlgnr} {TekstKeuze} {2800} {Waarschuwing} - Waarde    niet toegestaan als keuzetekst";"";"";""
"lev_032";"";"";"StukdeelLevering";"IMKAD_AantekeningKadastraalObject";"";"Mag niet aanwezig / ingevuld zijn";"{StukdeelLevering} {vlgnr} {AantekeningKadastraalobject} {2800} {Waarschuwing} - Rubriek niet toegestaan voor dit modeldocument";"Consequentie voor MID:
Volgnummer wordt onjuist getoond.
Consequentie voor opmaak:
Objecten worden niet getoond.";"";""
"wkp_004";"";"";"IMKAD_Aangeboden stuk";"tia_TekstKeuze";"";"Alleen de volgende waarden zijn toegestaan: k_ToegevoegdeBijlage, k_TypeMutatiePB, k_AndereGrondstukken";"{AangebodenStuk} {vlgnr} {TekstKeuze} {2800} {Waarschuwing} - Waarde    niet toegestaan als keuzetekst";"";"";""
"hyp_aab_058";"";"";"IMKAD_ZakelijkRecht/Luchtvaartuig";"";"";"Mag niet aanwezig / ingevuld zijn";"{Luchtvaartuig} {vlgnr} {alle} {2800} {Teveel} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"hyp_par_054";"";"";"IMKAD_ZakelijkRecht/IMKAD_Leidingnetwerk";"IMKAD_Kadastrale aanduiding/ appartementsindex";"";"Mag niet aanwezig / ingevuld zijn";"{Leidingnetwerk} {vlgnr} {appartementsindex} {2800} {Waarschuwing} - Rubriek niet toegestaan bij leidingnetwerk";"";"";""
"hyp_par_055";"";"";"IMKAD_ZakelijkRecht/IMKAD_Leidingnetwerk";"tia_Tekstkeuze";"";"Mag niet aanwezig / ingevuld zijn";"{Leidingnetwerk} {vlgnr} {Tekstkeuze} {2800} {Waarschuwing} - Rubriek niet toegestaan bij leidingnetwerk";"";"";""
"hyp_par_055a";"";"";"IMKAD_ZakelijkRecht/Toedeling";"";"";"Mag niet aanwezig / ingevuld zijn";"{Toedeling} {vlgnr} {alle} {2800} {Waarschuwing} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"notv_068";"";"";"IMKAD_Persoon/tia_Gegevens";"IMKAD_KadNatuurlijkPersoon";"";"Mag alleen aanwezig zijn indien er een 2e voorkomen van tia_Gegevens aanwezig is.";"{Gegevens} {vlgnr} {KadNatuurlijkPersoon} {2800} {Fout} - Rubriek niet toegestaan indien GBA_Ingezetene niet aanwezig is";"";"";""
"wkp_001";"";"";"Bericht_TIA_stuk";"partnerSpecifiek";"";"Mag niet aanwezig / ingevuld zijn";"{BerichtTiaStuk} {vlgnr} {partnerSpecifiek} {2800} {Waarschuwing} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"hyp_mon_043g";"K";"";"IMKAD_Perceel";"tia_SplitsingsverzoekOrdernummer";"";"Moet ingevuld zijn indien k_VoorlopigeGrenzen =  true";"{Perceel} {vlgnr} {splitsingsverzoekOrdernummer} {2800} {Fout} - Rubriek verplicht in geval van voorlopige grenzen";"Geen consequenties voor registratie en opmaak, maar wel verplicht.";"";""
"GG239";"S";"";"";"";"";"Essentialiabestand niet valide volgens XSD-schema: cvc-complex-type.2.4.a";"Essentialiabestand niet valide volgens XSD-schema: cvc-complex-type.2.4.a";"";"";"Essentialiabestand niet valide volgens XSD-schema: cvc-complex-type.2.4.a"
"LEV_055E";"S";"";"";"";"";"Rubriek niet toegestaan voor dit modeldocument";"Rubriek niet toegestaan voor dit modeldocument";"IMKAD_ZakelijkRecht lev_055e|Rubriek niet toegestaan voor dit modeldocument";"";"IMKAD_ZakelijkRecht lev_055e|Rubriek niet toegestaan voor dit modeldocument"
"hyp_aab_043g";"K";"";"IMKAD_Perceel";"tia_SplitsingsverzoekOrdernummer";"";"Moet ingevuld zijn indien k_VoorlopigeGrenzen =  true";"{Perceel} {vlgnr} {splitsingsverzoekOrdernummer} {2800} {Fout} - Rubriek verplicht in geval van voorlopige grenzen";"Geen consequenties voor registratie en opmaak, maar wel verplicht.";"";"Ordernummer niet ingevuld, niet verplicht in KIK"
"hyp_wlu_069";"";"";"IMKAD_AangebodenStuk/Partij/IMKAD_Persoon/GerelateerdPersoon";"tia_IndPartij";"";"Behalve bestuurders mogen er geen personen zijn met deze indicatie op False";"{GerelateerdPersoon} {vlgnr} {IndPartij} {2800} {Fout} - Personen moeten partij zijn, uitgezonderd bestuurder";"Consequentie voor registratie:
Alleen gerelateerde personen met deze indicatie op True worden als persoon geregistreerd.
Consequentie voor opmaak:
Opmaak van personen in de akte is afhankelijk van deze indicatie.";"";""
"hyp_wlu_070";"";"";"IMKAD_AangebodenStuk/Partij/IMKAD_Persoon/GerelateerdPersoon";"tekstKeuze";"";"Alleen de volgende waarde is toegestaan: k_KeuzeblokVariant";"{GerelateerdPersoon} {vlgnr} {tekstKeuze} {2800} {Waarschuwing} - Waarde    niet toegestaan als keuzetekst";"";"";""
"aav_e_028";"W";"";"IMKAD_AangebodenStuk/Partij/IMKAD_Persoon/GerelateerdPersoon/IMKAD_Persoon";"toekomstigAdres";"";"Mag niet aanwezig / ingevuld zijn, als IndGezamenlijkeToekomstigeWoonlocatie uit GerelateerdPersoon =  true  (adres is dan al bij 1e persoon vermeld)";"{Gerelateerde Persoon} {vlgnr} {toekomstigAdres} {2800} {Waarschuwing} - Rubriek niet toegestaan bij gezamenlijke toekomstige woonlocatie";"";"";""
"lev_061b";"S";"";"IMKAD_Persoon/tia_Gegevens/NHR_Rechtspersoon";"tia_LandStatutaireZetel";"";"Mag niet aanwezig / ingevuld zijn in combinatie met IMKAD_Persoon/tia_TekstKeuze/tagNaam (‘k_Kantoorhoudende’)/tekst(‘en aldaar kantoorhoudende aan’)";"{Rechtspersoon} {vlgnr} {LandStatutaireZetel} {2800} {Fout} - Rubriek niet toegestaan bij keuzetekst  aldaar kantoorhoudende";"Mag niet aanwezig / ingevuld zijn in combinatie met IMKAD_Persoon/tia_TekstKeuze/tagNaam (‘k_Kantoorhoudende’)/tekst(‘en aldaar kantoorhoudende aan’)";"";""
"hyp_mon_028";"";"";"StukdeelWijzigingPR_Beperking";"";"";"Mag niet aanwezig / ingevuld zijn";"{StukdeelWijzigingPR_Beperking} {vlgnr} {alle} {2800} {Waarschuwing} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"hyp_mon_043b";"";"";"IMKAD_ZakelijkRecht/IMKAD_Perceel";"tia_Tekstkeuze";"";"Alleen de volgende waarde is toegestaan:k_Mandeligheid";"{Perceel} {vlgnr} {Tekstkeuze} {2800} {Waarschuwing} - Waarde " niet toegestaan als keuzetekst";"";"";""
"hyp_ing_012";"";"";"StukdeelHypotheek";"verkrijgerRechtRef";"";"Mag maximaal 2 maal voorkomen";"{Stukdeel} {vlgnr} {verkrijgerRechtRef} {2800} {Fout} - Rubriek mag maar tweemaal voorkomen";"Consequentie voor registratie: Er kunnen personen worden geregistreerd die niet als verkrijgende partij in de akte zijn vermeld.";"";""
"hyp_ing_012a";"N";"";"StukdeelHypotheek";"verkrijgerRechtRef";"";"Moet 1 maal aanwezig zijn met verwijzing naar partij met aanduidingPartij "de Bank"";"{Stukdeel} {vlgnr} {verkrijgerRechtRef} {2800} {Fout} - Bank is verplicht als verkrijgende partij, maar niet aanwezig";"Consequentie voor registratie: 
Er wordt een hypotheek geregistreerd, waarbij de bank niet als schuldeiser wordt geregistreerd";"";"Moet 1 maal aanwezig zijn met verwijzing naar partij met aanduidingPartij "de Bank""
"hyp_aab_007b";"";"";"IMKAD_AangebodenStuk/ondertekenaar";"tia_Gemeente";"";"Mag niet aanwezig / ingevuld zijn";"{Ondertekenaar} {vlgnr} {Gemeente} {2800} {Teveel} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"hyp_aab_007c";"W";"";"IMKAD_AangebodenStuk/tia_Verklaarder";"aard";"";"Mag niet aanwezig / ingevuld";"{Verklaarder} {vlgnr} {Aard} {2800} {Waarschuwing} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"hyp_ing_043g";"K";"";"IMKAD_Perceel";"tia_SplitsingsverzoekOrdernummer";"";"Moet ingevuld zijn indien k_VoorlopigeGrenzen =  true";"{Perceel} {vlgnr} {splitsingsverzoekOrdernummer} {2800} {Fout} - Rubriek verplicht in geval van voorlopige grenzen";"Geen consequenties voor registratie en opmaak, maar wel verplicht.";"";"Geen consequenties voor registratie en opmaak, maar wel verplicht."
"hyp_wlu_057b";"K";"";"IMKAD_Perceel";"tia_SplitsingsverzoekOrdernummer";"";"Moet ingevuld zijn indien k_VoorlopigeGrenzen =  true";"{Perceel} {vlgnr} {splitsingsverzoekOrdernummer} {2800} {Fout} - Rubriek verplicht in geval van voorlopige grenzen";"Geen consequenties voor registratie en opmaak, maar wel verplicht.";"";""
"aav_e_034";"";"";"IMKAD_WoonlocatiePersoon";"adres";"";"Mag 2 keer voorkomen indien het ene geval een binnenlandsAdres en het andere een kadBinnenlandsAdres betreft.";"{WoonlocatiePersoon} {vlgnr} {adres} {2800} {Fout} - Niet toegestane combinatie van adressen";"Consequentie voor MID:
Onjuiste adresgegevens worden getoond.
Consequentie voor opmaak:
Adresgegevens worden onjuist in de akte getoond.";"";""
"aav_e_035";"";"";"IMKAD_WoonlocatiePersoon/adres";"kadBinnenlandsAdres";"";"Mag alleen aanwezig zijn indien er een 2e voorkomen van adres aanwezig is.";"{adres} {vlgnr} {kadBinnenlandsAdres} {2800} {Fout} - Rubriek niet toegestaan indien binnenlandsAdres niet aanwezig is";"Consequentie voor opmaak:
De BAG gegevens worden niet getoond.
Consequentie voor MID:
Het type adres kan niet worden bepaald.";"";""
"hyp_par_072";"";"";"IMKAD_Persoon/tia_Gegevens/GBA_Ingezetene";"geslacht";"";"Moet ingevuld zijn";"{Ingezetene} {vlgnr} {Geslacht} {2800} {Fout} - Rubriek verplicht voor dit modeldocument";"Consequentie voor opmaak:
Tekst ( de heer  of  mevrouw ) wordt niet vermeld in de akte.
Consequentie voor registratie:
Geslacht is verplicht bij NP.";"";""
"lev_nn_026";"";"";"IMKAD_AangebodenStuk/tia_Verklaarder/verklaarder";"geslacht";"";"Mag niet aanwezig / ingevuld zijn";"{verklaarder} {vlgnr} {geslacht} {2800} {Waarschuwing} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"hyp_ing_011";"";"";"StukdeelHypotheek";"vervreemderRechtRef";"";"Mag maximaal 1 maal voorkomen";"{Stukdeel} {vlgnr} {vervreemderRechtRef} {2800} {Waarschuwing} - Rubriek mag maar eenmaal voorkomen";"";"";""
"hyp_mon_033";"";"";"IMKAD_AangebodenStuk/Partij/Gevolmachtigde";"tekstkeuze";"";"Alleen de volgende waarde is toegestaan: k_VerantwoordelijkheidNotaris, k_BurgerlijkeStaatPersoon";"{Gevolmachtigde} {vlgnr} {tekstKeuze} {2800} {Waarschuwing} - Waarde    niet toegestaan als keuzetekst";"";"";""
"hyp_mon_034";"";"";"IMKAD_AangebodenStuk/Partij/Gevolmachtigde/gegevens";"naamKantoor";"";"Mag niet aanwezig / ingevuld zijn";"{Gevolmachtigde} {vlgnr} {naamKantoor} {2800} {Waarschuwing} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"hyp_mon_034d";"";"";"IMKAD_AangebodenStuk/Partij/Gevolmachtigde/gegevens";"bevoegdheid";"";"Moet ingevuld zijn";"{Gevolmachtigde} {vlgnr} {Bevoegheid} {2800} {Fout} - Rubriek verplicht voor dit modeldocument";"Consequentie voor opmaak:
Tekst ( schriftelijk  of  mondeling ) wordt niet vermeld in de akte.";"";""
"PRD";"K";"";"";"";"";"Uitval productieformulier";"Uitval productieformulier";"Uitval productieformulier";"";"Uitval productieformulier"
"GG229";"K";"";"";"";"";"XML-PDF verschil: kvk nummer ontbreekt in gegenereerde PDF";"XML-PDF verschil: kvk nummer ontbreekt in gegenereerde PDF";"";"";"XML-PDF verschil: kvk nummer ontbreekt in gegenereerde PDF"
"hyp_rab_032";"";"";"IMKAD_AangebodenStuk/Partij";"IndRegistergoedBewonen";"";"Mag niet aanwezig / ingevuld zijn";"{Partij} {vlgnr} {IndRegistergoedBewonen} {2800} {Waarschuwing} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"hyp_rab_033";"";"";"IMKAD_AangebodenStuk/Partij/Gevolmachtigde";"tekstkeuze";"";"Alleen de volgende waarde is toegestaan: k_VerantwoordelijkheidNotaris, k_BurgerlijkeStaatPersoon";"{Gevolmachtigde} {vlgnr} {tekstKeuze} {2800} {Waarschuwing} - Waarde    niet toegestaan als keuzetekst";"";"";""
"lev_nn_012";"";"";"IMKAD_AangebodenStuk/ondertekenaar/tia_Ondertekenaar";"geboorte";"";"Mag niet aanwezig / ingevuld zijn";"{Ondertekenaar} {vlgnr} {geboorte} {2800} {Waarschuwing} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"GG106";"";"";"";"";"";"Er ontbreek een komma in de PDF";"Er ontbreek een komma in de PDF";"";"";", ontbreekt in PDF"
"238";"S";"";"";"";"";"Register, deel en nummer moeten ingevuld zijn als de koopovereenkomst al is ingeschreven.";"Register, deel en nummer moeten ingevuld zijn als de koopovereenkomst al is ingeschreven";"Register, deel en nummer moeten ingevuld zijn als de koopovereenkomst al is ingeschreven.";"";"In de koopovereenkomst moet register gevuld zijn indien: gegevensinschrijving (deel en nummer) en datuminschrijving zijn gevuld."
"hyp_par_028";"";"";"StukdeelBeslag";"";"";"Mag niet aanwezig / ingevuld zijn";"{StukdeelBeslag} {vlgnr} {alle} {2800} {Waarschuwing} - Rubriek niet toegestaan voor dit modeldocument";"";"";""
"aav_e_037";"";"";"IMKAD_Persoon/tia_Gegevens";"IMKAD_KadNatuurlijkPersoon";"";"Mag alleen aanwezig zijn indien er een 2e voorkomen van tia_Gegevens aanwezig is.";"{Gegevens} {vlgnr} {KadNatuurlijkPersoon} {2800} {Fout} - Rubriek niet toegestaan indien GBA_Ingezetene niet aanwezig is";"Consequentie voor opmaak:
De GBA gegevens worden niet getoond
Consequentie voor MID:
De persoonsgegevens worden niet volledig getoond.";"";""
